Web_link-href,Noon SKU,Product_Name,Brand_Name,Buy_Price,Low_Price,Sold_By
https://www.noon.com/uae-en/ipad-2021-9th-generation-10-2-inch-64gb-wifi-space-gray-with-facetime-international-version/N50867004A/p/?o=fa2e1da74c788d3d,N50867004A,"iPad 2021 (9th Generation) 10.2-Inch, 64GB, WiFi, Space Gray With Facetime - International Version",Apple,AED 1202.00 Inclusive of VAT,AED 1189.00,Electronicsstore
https://www.noon.com/uae-en/smooth-rolling-baby-pram-stroller-harness-and-seat-soft-padded-seat-adjustable-position-newborn-khaki-black/N20167187A/p/?o=eb740c7c780047cf,N20167187A,"Smooth-Rolling Baby Pram Stroller, Harness And Seat, Soft Padded Seat, Adjustable Position, Newborn - Khaki/Black",BABY PLUS,AED 169.00 Inclusive of VAT,null,BABYPLUS
https://www.noon.com/uae-en/premium-care-baby-diapers-size-4-9-14-kg-200-count-100-x-2-helps-prevent-rashes/N11584189A/p/?o=ce4af3f2dd9c81ae,N11584189A,"Premium Care Baby Diapers, Size 4, 9 - 14 Kg, 200 Count (100 x 2) - Helps Prevent Rashes",Pampers,AED 210.25 Inclusive of VAT,null,noon
https://www.noon.com/uae-en/40-piece-3d-whitestrips-dental-whitening-kit/N32504296A/p/?o=dfb7153267dfdaba,N32504296A,40-Piece 3D WhiteStrips Dental Whitening Kit,Crest,AED 230.00 Inclusive of VAT,AED 225.00,world solution technology
https://www.noon.com/uae-en/iphone-13-pro-max-256gb-alpine-green-5g-with-facetime-international-version/N52929056A/p/?o=fc26da8632dc442a,N52929056A,iPhone 13 Pro max 256GB Alpine Green 5G With Facetime - International version,Apple,AED 4599.00 Inclusive of VAT,AED 4559.00,Electronics Collection
https://www.noon.com/uae-en/scented-reed-diffuser-lavender-100ml/N29375490A/p/?o=e94c5154a61f030b,N29375490A,Scented Reed Diffuser Lavender 100ml,noon east,AED 15.00 Inclusive of VAT,null,noon Brands
https://www.noon.com/uae-en/55-inch-4k-uhd-hdr-smart-tv-vidaa-os-55a6gl-ge-black/N49133351A/p/?o=b30691c2df06b16e,N49133351A,55-Inch 4K UHD HDR Smart TV (Vidaa OS) 55A6GL/GE Black,Hisense,AED 1499.00 Inclusive of VAT,AED 1479.00,noon
https://www.noon.com/uae-en/y20s-dual-sim-purist-blue-8gb-ram-128gb-4g-lte/N42344788A/p/?o=b352c203d0fa29be,N42344788A,Y20s Dual SIM Purist Blue 8GB RAM 128GB 4G LTE,vivo,AED 679.00 Inclusive of VAT,AED 798.00,noon
https://www.noon.com/uae-en/32-piece-push-pop-bubble-sensory-fidget-toy-set-16cm/N50947047A/p/?o=f7fabe8aeebc853d,N50947047A,32-Piece Push Pop Bubble Sensory Fidget Toy Set 16cm,ESSEN,AED 59.00 Inclusive of VAT,AED 59.00,noon
https://www.noon.com/uae-en/magic-finish-makeup-foundation-beige/N21506766A/p/?o=a795700d0884417e,N21506766A,Magic Finish Makeup Foundation Beige,M.Asam,AED 73.00 Inclusive of VAT,AED 64.80,noon
https://www.noon.com/uae-en/iphone-13-128gb-midnight-5g-with-facetime-international-specs/N50838860A/p/?o=ec25daeacf15a1ff,N50838860A,iPhone 13 128GB Midnight 5G With Facetime - International Specs,Apple,AED 2960.00 Inclusive of VAT,AED 2965.00,Khalid Lemar
https://www.noon.com/uae-en/iphone-13-pro-max-256gb-sierra-blue-5g-with-facetime-international-specs/N50840187A/p/?o=be405b07583333dd,N50840187A,iPhone 13 Pro Max 256GB Sierra Blue 5G With Facetime - International Specs,Apple,AED 4650.00 Inclusive of VAT,AED 4625.00,MANGO PHONES
https://www.noon.com/uae-en/canister-bagged-vacuum-cleaner-high-suction-power-1-4-l-1000-w-vch3002b-tr-blue/N44288782A/p/?o=c8fb6a2ab8d0393a,N44288782A,Canister Bagged Vacuum Cleaner High Suction Power 1.4 L 1000 W VCH3002B-TR Blue,noon east,AED 139.00 Inclusive of VAT,null,noon Brands
https://www.noon.com/uae-en/soft-solid-king-size-duvet-microfiber-white-220x240centimeter/N38698424A/p/?o=cc14fb0a09344d2b,N38698424A,Soft Solid King Size Duvet Microfiber White 220x240centimeter,Rahalife,AED 52.00 Inclusive of VAT,AED 44.00,Comfy BeanBags
https://www.noon.com/uae-en/iphone-12-with-facetime-64gb-white-5g-international-specs/N41247164A/p/?o=e4af72be8f2f359d,N41247164A,iPhone 12 With Facetime 64GB White 5G - International Specs,Apple,AED 2235.00 Inclusive of VAT,AED 2239.00,Khalid Lemar
https://www.noon.com/uae-en/yoga-mat-blue-10mm/N16273364A/p/?o=f2ade4791f07f8cc,N16273364A,Yoga Mat Blue 10mm,Emfil,AED 33.00 Inclusive of VAT,AED 22.90,XIANGZHUWAN IMPAORT AND EXPORT FZCO
